timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448857956,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858007,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858058,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858109,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858164,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858216,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858268,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858320,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858375,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858428,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858481,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858531,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858584,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858688,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858741,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858792,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858843,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858896,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448858950,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859005,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859056,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859111,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859164,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859218,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859269,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859320,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859375,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859428,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859484,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859536,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859590,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859750,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859801,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859853,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859904,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448859960,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860011,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860061,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860112,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860164,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860218,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860268,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860320,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860373,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860423,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860479,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860530,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860582,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860633,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860744,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860796,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860847,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860900,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448860956,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861005,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861062,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861112,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861166,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861216,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861268,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861321,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861372,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861423,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861475,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861527,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861582,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861635,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861690,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861795,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861847,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861898,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448861953,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448862006,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448862058,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448862113,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448862168,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
