timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448793705,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793756,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793807,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793858,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793909,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793959,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794010,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794060,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794111,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794162,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794213,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794314,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794365,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794416,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794467,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794518,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448794569,0.278125,0.4861111111111111,712,700,2988,1155,2560,1440,0,0,0,1,0,0,0,0
1612448794619,0.2921875,0.4840277777777778,748,697,3043,1150,2560,1440,0,0,0,1,0,0,0,0
1612448794670,0.35,0.48333333333333334,896,696,3265,1148,2560,1440,0,0,0,1,0,0,0,0
1612448794722,0.50234375,0.42569444444444443,1286,613,3849,1024,2560,1440,0,0,0,1,0,0,0,0
1612448794773,0.56171875,0.38958333333333334,1438,561,4077,946,2560,1440,0,0,0,1,0,0,0,0
