timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448771340,0.49800531914893614,0.580259222333001,749,582,749,652,1504,1003,0,0,0,1,0,0,0,0
1612448771390,0.5438829787234043,0.6560319042871385,818,658,818,729,1504,1003,0,0,0,1,0,0,0,0
1612448771441,0.5811170212765957,0.7178464606181456,874,720,874,790,1504,1003,0,0,0,1,0,0,0,0
1612448771492,0.5944148936170213,0.7407776669990029,894,743,894,814,1504,1003,0,0,0,1,0,0,0,0
1612448771543,0.5957446808510638,0.7437686939182453,896,746,896,816,1504,1003,0,0,0,1,0,0,0,0
1612448771594,0.5904255319148937,0.7457627118644068,888,748,888,819,1504,1003,0,0,0,1,0,0,0,0
1612448771645,0.5691489361702128,0.752741774675972,856,755,856,826,1504,1003,0,0,0,1,0,0,0,0
1612448771697,0.5531914893617021,0.7637088733798604,832,766,832,836,1504,1003,0,0,0,1,0,0,0,0
1612448771748,0.5538563829787234,0.765702891326022,833,768,833,838,1504,1003,0,0,0,1,0,0,0,0
1612448771799,0.581781914893617,0.7926221335992024,875,795,875,866,1504,1003,0,0,0,0,0,0,0,1
1612448771850,0.6030585106382979,0.8045862412761715,907,807,907,878,1504,1003,0,0,0,0,0,0,0,1
1612448771901,0.6037234042553191,0.8045862412761715,908,807,908,878,1504,1003,0,0,0,0,0,0,0,1
1612448772005,0.5691489361702128,0.7956131605184447,856,798,856,869,1504,1003,0,0,0,0,0,0,0,1
1612448772056,0.5598404255319149,0.7956131605184447,842,798,842,868,1504,1003,0,0,0,0,0,0,0,1
1612448772114,0.5598404255319149,0.7956131605184447,842,798,842,868,1504,1003,0,0,0,0,0,0,0,1
1612448772175,0.5598404255319149,0.7956131605184447,842,798,842,868,1504,1003,0,0,0,0,0,0,0,1
1612448772226,0.5611702127659575,0.7956131605184447,844,798,844,868,1504,1003,0,0,0,0,0,0,0,1
1612448772278,0.5678191489361702,0.8035892323030908,854,806,854,877,1504,1003,0,0,0,0,0,0,0,1
1612448772330,0.5684840425531915,0.8035892323030908,855,806,855,877,1504,1003,0,0,0,0,0,0,0,1
1612448772394,0.5684840425531915,0.8035892323030908,855,806,855,877,1504,1003,0,0,0,0,0,0,0,1
