timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448884425,0.32890625,0.5701388888888889,842,821,3184,1336,2560,1440,0,0,0,0,0,0,0,1
1612448884476,0.328125,0.5701388888888889,840,821,3180,1336,2560,1440,0,0,0,0,0,0,0,1
1612448884527,0.328125,0.5701388888888889,840,821,3180,1336,2560,1440,0,0,0,0,0,0,0,1
1612448887840,0.34296875,0.5680555555555555,878,818,3238,1332,2560,1440,1,0,0,0,0,0,0,1
1612448887890,0.343359375,0.5680555555555555,879,818,3239,1332,2560,1440,0,0,0,1,0,0,0,0
1612448887941,0.343359375,0.5680555555555555,879,818,3239,1332,2560,1440,0,0,0,1,0,0,0,0
1612448887992,0.343359375,0.5680555555555555,879,818,3239,1332,2560,1440,0,0,0,0,0,0,0,1
1612448888042,0.346875,0.56875,888,819,3252,1333,2560,1440,0,0,0,0,0,0,0,1
1612448888093,0.35234375,0.5694444444444444,902,820,3273,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888143,0.35234375,0.5694444444444444,902,820,3274,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888194,0.35234375,0.5694444444444444,902,820,3274,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888244,0.35234375,0.5694444444444444,902,820,3274,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888295,0.35234375,0.5694444444444444,902,820,3274,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888761,0.339453125,0.5694444444444444,869,820,3224,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888853,0.33203125,0.5694444444444444,850,820,3195,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888904,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448888955,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448889005,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448889055,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
