timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448666353,0.32916666666666666,0.7411111111111112,474,667,1087,797,1440,900,0,0,0,0,0,0,0,1,0
1612448666405,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,1,0
1612448666456,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,1,0
1612448673214,0.20069444444444445,0.7477777777777778,289,673,902,803,1440,900,0,0,0,0,0,0,0,1,0
1612448673266,0.20069444444444445,0.7477777777777778,289,673,902,803,1440,900,0,0,0,0,0,0,0,1,0
1612448673352,0.20069444444444445,0.7477777777777778,289,673,902,803,1440,900,1,1,0,0,0,0,0,1,0
1612448673405,0.20069444444444445,0.7477777777777778,289,673,902,803,1440,900,0,0,0,0,0,0,0,1,0
1612448677179,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677230,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677317,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677369,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677422,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677474,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677530,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677581,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677634,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677179,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677230,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677317,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677369,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677422,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677474,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677530,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677581,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677634,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448677686,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,1,0
1612448747641,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448747693,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448747747,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448747829,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448747884,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448747933,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448747989,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448748039,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448748094,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448748144,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448748199,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448748252,0.24097222222222223,0.7544444444444445,347,679,1209,809,1440,900,0,0,0,0,0,0,0,1,0
1612448748306,0.16527777777777777,0.6577777777777778,238,592,1100,722,1440,900,0,0,0,0,1,0,0,0,0
1612448748358,0.059722222222222225,0.55,86,495,948,625,1440,900,0,0,0,0,1,0,0,0,0
1612448748571,0.015277777777777777,0.5166666666666667,22,465,884,595,1440,900,0,0,0,1,0,0,0,0,0
1612448748625,0.015277777777777777,0.5166666666666667,22,465,884,595,1440,900,0,0,0,1,0,0,0,0,0
1612448748676,0.013194444444444444,0.5177777777777778,19,466,881,596,1440,900,0,0,0,1,0,0,0,0,0
1612448748727,0.005555555555555556,0.5233333333333333,8,471,870,601,1440,900,0,0,0,1,0,0,0,0,0
1612448782555,0.15833333333333333,0.36777777777777776,228,331,857,461,1440,900,0,0,0,0,0,0,1,0,0
1612448782606,0.18888888888888888,0.33666666666666667,272,303,901,433,1440,900,0,0,0,0,0,0,1,0,0
1612448782660,0.19375,0.3288888888888889,279,296,908,426,1440,900,0,0,0,0,0,0,1,0,0
1612448782714,0.19375,0.3288888888888889,279,296,908,426,1440,900,0,0,0,0,0,0,1,0,0
1612448782768,0.19375,0.3288888888888889,279,296,908,426,1440,900,0,0,0,0,0,0,1,0,0
1612448782822,0.19375,0.3288888888888889,279,296,908,426,1440,900,0,0,0,0,0,0,1,0,0
1612448782876,0.19375,0.3288888888888889,279,296,908,426,1440,900,0,0,0,0,0,0,1,0,0
1612448782927,0.22013888888888888,0.26,317,234,946,364,1440,900,0,0,0,0,0,0,1,0,0
1612448782978,0.2652777777777778,0.1511111111111111,382,136,1011,266,1440,900,0,0,0,1,0,0,0,0,0
1612448783030,0.3034722222222222,0.06888888888888889,437,62,1066,192,1440,900,0,0,0,1,0,0,0,0,0
1612448783082,0.30625,0.06333333333333334,441,57,1070,187,1440,900,0,0,0,1,0,0,0,0,0
1612448783134,0.30625,0.06333333333333334,441,57,1070,187,1440,900,0,0,0,1,0,0,0,0,0
1612448783189,0.30625,0.06333333333333334,441,57,1070,187,1440,900,0,0,0,1,0,0,0,0,0
1612448783243,0.30625,0.06333333333333334,441,57,1070,187,1440,900,0,0,0,1,0,0,0,0,0
1612448783294,0.30694444444444446,0.04,442,36,1071,166,1440,900,0,0,0,0,0,0,0,0,1
1612448789939,0.26666666666666666,0.25,384,225,981,382,1440,900,0,0,0,0,0,0,1,0,0
1612448789993,0.26666666666666666,0.25,384,225,981,382,1440,900,0,0,0,0,0,0,1,0,0
1612448790044,0.26666666666666666,0.25,384,225,981,382,1440,900,0,0,0,0,0,0,1,0,0
1612448790097,0.26666666666666666,0.25,384,225,981,382,1440,900,0,0,0,0,0,0,1,0,0
1612448790148,0.26666666666666666,0.24888888888888888,384,224,981,381,1440,900,0,0,0,0,0,0,1,0,0
1612448790199,0.25763888888888886,0.3466666666666667,371,312,968,469,1440,900,0,0,0,0,0,0,1,0,0
1612448790250,0.23680555555555555,0.6,341,540,938,697,1440,900,0,0,0,0,0,1,0,0,0
1612448790304,0.23194444444444445,0.6433333333333333,334,579,931,736,1440,900,0,0,0,0,1,0,0,0,0
1612448790357,0.23194444444444445,0.6433333333333333,334,579,931,736,1440,900,0,0,0,0,1,0,0,0,0
1612448790413,0.23194444444444445,0.6433333333333333,334,579,931,736,1440,900,0,0,0,0,1,0,0,0,0
1612448790467,0.23194444444444445,0.6433333333333333,334,579,931,736,1440,900,0,0,0,0,1,0,0,0,0
1612448790518,0.24166666666666667,0.6588888888888889,348,593,945,750,1440,900,0,0,0,0,1,0,0,0,0
1612448790570,0.25833333333333336,0.6866666666666666,372,618,969,775,1440,900,0,0,0,1,0,0,0,0,0
1612448790622,0.26805555555555555,0.7044444444444444,386,634,983,791,1440,900,0,0,0,1,0,0,0,0,0
1612448790672,0.26944444444444443,0.7077777777777777,388,637,985,794,1440,900,0,0,0,1,0,0,0,0,0
1612448790723,0.2701388888888889,0.7122222222222222,389,641,986,798,1440,900,0,0,0,0,0,0,0,1,0
1612448790774,0.2701388888888889,0.7233333333333334,389,651,986,808,1440,900,0,0,0,0,0,0,0,1,0
1612448790825,0.2708333333333333,0.7288888888888889,390,656,987,813,1440,900,0,0,0,0,0,0,0,1,0
1612448790928,0.2708333333333333,0.7322222222222222,390,659,987,816,1440,900,0,0,0,0,0,0,0,1,0
1612448790979,0.2708333333333333,0.7344444444444445,390,661,987,818,1440,900,0,0,0,0,0,0,0,1,0
1612448791031,0.26944444444444443,0.7411111111111112,388,667,985,824,1440,900,0,0,0,0,0,0,0,1,0
1612448791082,0.26875,0.7411111111111112,387,667,984,824,1440,900,0,0,0,0,0,0,0,1,0
1612448791133,0.26875,0.7411111111111112,387,667,984,824,1440,900,0,0,0,0,0,0,0,1,0
1612448845702,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
1612448845752,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
1612448845829,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
1612448845883,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
1612448845935,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
1612448845988,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
1612448846040,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
1612448846090,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
1612448846140,0.2965277777777778,0.6166666666666667,427,555,1069,746,1440,900,0,0,0,0,0,0,0,1,0
